,pl_id,pl_model_code,pl_name,star,market,write_id,upload_day,title,text,URL
0,,,,,,,,,,
0,,,,,,,,,,
0,1,A2221,아이폰11,5,하이마트쇼핑몰,z*o*****,21.02.13.,토요일 배송 될거라 생각했는데 ,토요일 배송 될거라 생각했는데 월요일 배송되었네요.아이 졸업 선물로 카메라 좋은 거 해줄려고 아이폰으로 선택했습니다. 가격은 학생한테 비싸지만 4년 쓰면 된다는마음으로 구매했어요. 역시 아이폰이라 사진 찍을 때가 제일 좋네요.,https://search.shopping.naver.com/catalog/20858389068?NaPm=ct%3Dkmobnizc%7Cci%3D171bbf9c36ef6f6c4f4d3d354fdd57c3cda0e611%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3Df4168f8d78fa4ac1df375ea39a25b7444ac6b0d0
0,1,A2221,아이폰11,4,스마트베이비,ciao****,21.01.10.,"실버없어서 골드로 주문했는데, 기존 가지고있는거랑 비슷하지만 맘에 들어요~ 통신사 대리점에서는 64기가만 있어서 온라인 구매한거라 만족합니다. 다만 택배배송과정에서 물량이 많아서인","실버없어서 골드로 주문했는데, 기존 가지고있는거랑 비슷하지만 맘에 들어요~ 통신사 대리점에서는 64기가만 있어서 온라인 구매한거라 만족합니다. 다만 택배배송과정에서 물량이 많아서인지 생각보다 늦게와서 기다리느라 힘들었음요. 기사님들 추운데 고생하셨구, 잘 쓸게요^^",https://search.shopping.naver.com/catalog/20858389068?NaPm=ct%3Dkmobnizc%7Cci%3D171bbf9c36ef6f6c4f4d3d354fdd57c3cda0e611%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3Df4168f8d78fa4ac1df375ea39a25b7444ac6b0d0
0,1,A2221,아이폰11,4,11번가,lo******,20.08.09.,좋아요,"배송빠르고 좋았어요.단, 아이폰이 스크래치있는 초기불량제품이어서 뽑기를 잘못한듯.매우귀찮게 AS센터를 이틀에걸쳐 세번이나 방문함.초기불량 스크래치로 방문익일 제품받으러 재방문OS업데이트 중 벽돌되서 또 방문우여곡절끝에 제품을 받았는데 여튼뭐 애플공홈보다저렴한가격에 잘샀다고 생각함(아쉬운건 골드색깔이 별로...)",https://search.shopping.naver.com/catalog/20858389068?NaPm=ct%3Dkmobnizc%7Cci%3D171bbf9c36ef6f6c4f4d3d354fdd57c3cda0e611%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3Df4168f8d78fa4ac1df375ea39a25b7444ac6b0d0
0,1,A2221,아이폰11,5,G마켓,k*0*****,20.11.21.,완전 적극적으로 추천합니다,골드로 주문하였는데 품절이라 미드나잇으로 보내주셨습니다~ 추가금 없이 업그레이드 받은 느낌이랄까~ ㅎㅎ~ 친절하게 설명도 해주시고 배송도 출고 다음날 도착했고~ 제품도 20년 4월 제품에 모든게 완벽했습니다~ 하나 맘에 안들었다면 뽁뽁이도 없이 달랑 박스에 폰만 있던게 아쉬었네요~,https://search.shopping.naver.com/catalog/20858389068?NaPm=ct%3Dkmobnizc%7Cci%3D171bbf9c36ef6f6c4f4d3d354fdd57c3cda0e611%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3Df4168f8d78fa4ac1df375ea39a25b7444ac6b0d0
0,1,A2221,아이폰11,5,애플 공식 브랜드스토어,1004****,20.10.04.,"구매 후 2틀만에 도착했습니다. 출고가와 많이 차이나진 않지만, 일반 휴대폰 매장에서 사고 싶지 않아 인터넷으로 구매했습니다. 실버와 고민했지만, 골드도 예쁘네요. 배송도 빠르고 ","구매 후 2틀만에 도착했습니다. 출고가와 많이 차이나진 않지만, 일반 휴대폰 매장에서 사고 싶지 않아 인터넷으로 구매했습니다. 실버와 고민했지만, 골드도 예쁘네요. 배송도 빠르고 만족합니다. 같이 보내주신 보호필름과 케이스도 잘 쓰겠습니다.",https://search.shopping.naver.com/catalog/20858389068?NaPm=ct%3Dkmobnizc%7Cci%3D171bbf9c36ef6f6c4f4d3d354fdd57c3cda0e611%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3Df4168f8d78fa4ac1df375ea39a25b7444ac6b0d0
0,1,A2221,아이폰11,5,프렌드가젯,flow****,20.11.29.,여러군데 알아보고 어렵게 샀는데요 궁금한 점도 빠른 답변으로 응대해주시고 상품도 정말 꼼꼼하게 잘 보내주셨고 빠른 배송으로 정말 다 좋았습니다~리뷰 한번도 쓴적 없는데 여기는 너무,여러군데 알아보고 어렵게 샀는데요 궁금한 점도 빠른 답변으로 응대해주시고 상품도 정말 꼼꼼하게 잘 보내주셨고 빠른 배송으로 정말 다 좋았습니다~리뷰 한번도 쓴적 없는데 여기는 너무너무 좋아서 도움이 되길 바라며 한번 써봅니다..다음에도 또 구매하겠습니다^^,https://search.shopping.naver.com/catalog/20858389068?NaPm=ct%3Dkmobnizc%7Cci%3D171bbf9c36ef6f6c4f4d3d354fdd57c3cda0e611%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3Df4168f8d78fa4ac1df375ea39a25b7444ac6b0d0
0,1,A2221,아이폰11,3,하이마트쇼핑몰,k*n*****,20.07.08.,"아.. 진짜 딥빡이네요
스마트픽 하","아.. 진짜 딥빡이네요스마트픽 하지마세요.개인간 택배거래해도 물건 뽁뽁이에 싸주는게 예의인데,대기업에서 박스 종이로 싸서 배송 말인지..ㅋ제일 화나는건 폰 뒷면 기스가있고...진심 짜증나요.물건 원해서 산거 맞지만, 다른 업체에서 안사고 롯데라는 대기업이니까 더 서비스 좋을 줄 알고 샀는데 배송 상태도 꽝 진심 짜증납니다.엄마 아이디로 산거라 후기 안쓰려 했는데 화나서 쓰게 만드네요.",https://search.shopping.naver.com/catalog/20858389068?NaPm=ct%3Dkmobnizc%7Cci%3D171bbf9c36ef6f6c4f4d3d354fdd57c3cda0e611%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3Df4168f8d78fa4ac1df375ea39a25b7444ac6b0d0
0,1,A2221,아이폰11,5,SSG닷컴,lo******,20.02.07.,테두리: 지문 묻는 실버  뒷면: ,테두리: 지문 묻는 실버 뒷면: 지문 묻지 않는 화이트 크기: 손에 착 감기는 맛용량: 64는 작고 128이 없어서 아쉬움배송: 일반적인 배송보다 느려서 목이 빠질 뻔페이스아이디: 지문인식에 길들여져 있어서 어색하지만 생각보다 인식이 잘 됨.. 안경을 껴도 잘 되고 어두워도 잘 되고 안 될 것 같은데도 인식이 잘 돼서 불안할 때가 있음...카메라: 어두운 곳에서 잘 찍혀서 감동받아 기절기타: 아이폰이다,https://search.shopping.naver.com/catalog/20858389068?NaPm=ct%3Dkmobnizc%7Cci%3D171bbf9c36ef6f6c4f4d3d354fdd57c3cda0e611%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3Df4168f8d78fa4ac1df375ea39a25b7444ac6b0d0
