,maker,group,code,name,model_name,storage,color_name,hidden,storage_hidden,color_hidden,class_hidden,size,display_inch,display_cm,weight,battery,front_camera,back_camera,price,score,summary,pl_launch
0,,,,,,,,,,,,,,,,,,,,,,
0,LG전자,,LG-D150,,,,,,,,,44.2 x 82.4 x 21.2,,,-,,(0 메가픽셀),(0 메가픽셀),,,,2001. 03
0,LG전자,,LG-D329,LG L70,LG L70,4 GB,,,,,,66.8 x 127.2 x 9.5,4.5,,2100 mAh,LG L70,640 x 480 (0.3 메가픽셀),2592 x 1944 (5 메가픽셀),,,,2014. 04
0,LG전자,,LG-D690,G3 스타일러스,G3 스타일러스,8 GB,,,,,,75.9 x 149.3 x 10.2,5.5,,3000 mAh,G3 스타일러스,(0 메가픽셀),4128 x 3096 (12.8 메가픽셀),,,,2014. 08
0,LG전자,,LG-D690n,G3 스타일러스,G3 스타일러스,8 GB,,,,,,75.9 x 149.3 x 10.2,5.5,,3000 mAh,G3 스타일러스,(0 메가픽셀),4128 x 3096 (12.8 메가픽셀),,,,2014. 08
0,LG전자,,LG-D700,옵티머스 L9,옵티머스 L9,4 GB,,,,,,68.8 x 127.8 x 9.1,,,2150 mAh,옵티머스 L9,(0 메가픽셀),2592 x 1944 (5 메가픽셀),,,,2012. 08
0,LG전자,,LG-F120K,옵티머스 LTE 태그,옵티머스 LTE 태그,,,,,,,67.9 x 126.5 x 9.53,4.3,,1700 mAh,옵티머스 LTE 태그,(0 메가픽셀),(0 메가픽셀),,,,2012. 02
0,LG전자,,LG-F120L,옵티머스 LTE 태그,옵티머스 LTE 태그,,,,,,,67.9 x 126.5 x 9.53,4.3,,1700 mAh,옵티머스 LTE 태그,(0 메가픽셀),(0 메가픽셀),,,,2012. 02
0,LG전자,,LG-F120S,옵티머스 LTE 태그,옵티머스 LTE 태그,,,,,,,67.9 x 126.5 x 9.53,4.3,,1700 mAh,옵티머스 LTE 태그,(0 메가픽셀),(0 메가픽셀),,,,2012. 02
0,LG전자,,LG-F160K,옵티머스 LTE2,옵티머스 LTE2,16 GB,,,,,,69.5 x 134.7 x 8.9,4.7,,2150 mAh,옵티머스 LTE2,(0 메가픽셀),3264 x 2448 (8 메가픽셀),,,,2012. 05
0,LG전자,,LG-F160L,옵티머스 LTE2,옵티머스 LTE2,16 GB,,,,,,69.5 x 134.7 x 8.9,4.7,,2150 mAh,옵티머스 LTE2,(0 메가픽셀),3264 x 2448 (8 메가픽셀),,,,2012. 05
